id,subunit,iou_0,iou_1,iou_2,dice_0,dice_1,dice_2,recall_0,recall_1,recall_2,specificity_0,specificity_1,specificity_2
30239,8,0.999997986,0.929463801,0.522093635,0.999998993,0.96344259,0.686020391,0.999997986,0.942963983,0.84360391,1,0.999260348,0.997223792
30239,7,0.999928385,0.81974746,0.278526776,0.999964191,0.900946398,0.435699558,0.999930402,0.930537297,0.369689093,0.999965014,0.993635,0.996847598
30239,6,0.999947432,0.852450872,0.440813745,0.999973715,0.920349236,0.61189553,0.999947432,0.971410599,0.487867476,1,0.995636228,0.999120196
30239,5,0.999967674,0.869127818,0.295140914,0.999983837,0.929982219,0.455766489,0.999976765,0.925933014,0.47239073,0.999846623,0.996572407,0.996295148
30239,4,0.999998004,0.897376438,0.347222222,0.999999002,0.945912914,0.515463918,0.999998004,0.912563,0.766773163,1,0.999271875,0.996382405
30239,3,0.999985958,0.80803065,0.352524742,0.999992979,0.893824062,0.521283982,0.999988967,0.954031993,0.405888713,0.999941854,0.992913811,0.99824418
30239,2,0.999999009,0.838335253,0.432757401,0.999999505,0.91205916,0.604090268,0.999999009,0.982249519,0.457097118,1,0.995007572,0.999492882
30239,12,0.999974985,0.926701842,0.675114155,0.999987492,0.961956668,0.80605152,0.999974985,0.960486811,0.813032719,1,0.9972073,0.997125803
30239,11,0.999995889,0.944052918,0.748403221,0.999997945,0.97122142,0.856099111,0.999995889,0.949984448,0.963876967,1,0.999589546,0.996896062
30239,10,0.99990842,0.276725221,0.256106343,0.999954208,0.433492214,0.407778122,0.999918042,0.716908615,0.288770875,0.999780281,0.979072292,0.996194579
30239,1,0.99995058,0.804694113,0.337507376,0.999975289,0.891778953,0.504681143,0.99995058,0.957140569,0.384782121,1,0.991761164,0.998189717
25980,9,0.988555972,0.724484786,0.489886143,0.994245056,0.840233317,0.657615544,1,0.774858583,0.6356778,0.858640327,0.995280718,0.996344069
25980,8,0.985966116,0.67981808,0.582922088,0.992933473,0.809394884,0.736513935,0.999998979,0.688683011,0.907461297,0.797039861,0.999206842,0.995400895
25980,7,0.982175076,0.648145913,0.582766272,0.991007392,0.786515208,0.736389551,1,0.661213371,0.85734494,0.761561902,0.998668158,0.995834079
25980,6,0.984713688,0.60827781,0.266482152,0.992297976,0.756433753,0.420822593,0.999998979,0.619742543,0.755077418,0.779308043,0.998776206,0.991262961
